S. No.,RMS,Maximum,Range,Standard Deviation,Sample Variance,Standard Error,P10,y
1,1.150595486,1.976051969,3.967495441,1.133980655,1.285912125,0.113398065,-1.687976132,0
2,1.20705906,1.987706749,3.975220132,1.20692077,1.456657744,0.120692077,-1.755588018,0
3,1.169127728,1.976658225,3.947438988,1.11536574,1.244040734,0.111536574,-1.359092145,0
4,1.045178716,1.947935326,3.929543199,1.04908195,1.100572939,0.104908195,-1.451612529,0
5,1.147310603,1.9993288,3.986976321,1.153053288,1.329531884,0.115305329,-1.430750943,0
6,1.188397756,1.937286488,3.907033491,1.174488203,1.379422539,0.11744882,-1.565562205,0
7,1.079875118,1.952808355,3.922919745,1.084282081,1.17566763,0.108428208,-1.502075688,0
8,1.080798133,1.991867488,3.963437041,1.074122435,1.153739006,0.107412244,-1.218906164,0
9,1.203303487,1.969903634,3.95773663,1.206645348,1.455992996,0.120664535,-1.510604501,0
10,1.180238182,1.948883806,3.873022109,1.183559264,1.400812531,0.118355926,-1.681975596,0
11,1.176295769,1.900728542,3.891825703,1.177520774,1.386555173,0.117752077,-1.6925089,0
12,1.152763406,1.989419465,3.980356522,1.157422467,1.339626767,0.115742247,-1.567147029,0
13,1.237403253,1.860947968,3.848545825,1.236848146,1.529793336,0.123684815,-1.715520646,0
14,1.181060857,1.956114292,3.896153603,1.185360043,1.405078431,0.118536004,-1.497137633,0
15,1.214331277,1.983688175,3.962644532,1.220376844,1.489319642,0.122037684,-1.661186845,0
16,1.151383424,1.993237585,3.957476443,1.146986729,1.315578556,0.114698673,-1.633892527,0
17,1.020363765,1.861396387,3.711761491,1.025503257,1.051656929,0.102550326,-1.483323332,0
18,1.138905352,1.953121218,3.920136743,1.143632065,1.307894301,0.114363207,-1.544961649,0
19,1.192016457,1.986500119,3.866311471,1.177895683,1.38743824,0.117789568,-1.493058081,0
20,1.124490921,1.979145604,3.920188043,1.129632257,1.276069036,0.112963226,-1.508989249,0
21,1.173331818,1.959055528,3.955191025,1.174342556,1.379080439,0.117434256,-1.581437141,0
22,1.109134071,1.888229817,3.8704501,1.112932728,1.238619257,0.111293273,-1.437461469,0
23,0.976012009,1.898412559,3.867388483,0.980767062,0.96190403,0.098076706,-1.240407007,0
24,1.174462757,1.927608063,3.906156761,1.174817479,1.380196108,0.117481748,-1.715897038,0
25,1.200320552,1.985042838,3.984599372,1.201279981,1.443073592,0.120127998,-1.683987486,0
26,1.25848598,1.997702194,3.989127513,1.264154063,1.598085494,0.126415406,-1.616699355,0
27,1.089368002,1.983689375,3.93933032,1.094208841,1.197292987,0.109420884,-1.483768665,0
28,1.222698813,1.967838594,3.939745068,1.228057587,1.508125437,0.122805759,-1.683318927,0
29,1.112249644,1.98587806,3.899685754,1.117248686,1.248244626,0.111724869,-1.480855305,0
30,1.137020176,1.957727994,3.949995397,1.134292416,1.286619284,0.113429242,-1.57528522,0
31,1.194853499,1.929290393,3.92421486,1.200602087,1.441445371,0.120060209,-1.762033366,0
32,1.13432611,1.968571994,3.917232868,1.129139993,1.274957124,0.112913999,-1.57092055,0
33,1.129431253,1.97075209,3.941249229,1.1335237,1.284875978,0.11335237,-1.682176651,0
34,1.244625775,1.972797245,3.951988375,1.248474544,1.558688687,0.124847454,-1.600740057,0
35,1.141033875,1.975432467,3.89434393,1.13740001,1.293678783,0.113740001,-1.650118958,0
36,1.175232862,1.98875708,3.955909078,1.17783665,1.387299173,0.117783665,-1.646960954,0
37,1.18421905,1.939078949,3.916074668,1.188624353,1.412827853,0.118862435,-1.700628093,0
38,1.129216475,1.941118643,3.92984237,1.134551016,1.287206008,0.113455102,-1.683999068,0
39,1.134561782,1.964081052,3.915238377,1.137412489,1.293707171,0.113741249,-1.5785236,0
40,1.164428841,1.994464075,3.965161205,1.16583711,1.359176168,0.116583711,-1.696418577,0
41,1.185861576,1.973305134,3.964847453,1.171571387,1.372579515,0.117157139,-1.476261926,0
42,1.160581975,1.928524371,3.927303996,1.165023675,1.357280164,0.116502368,-1.490873677,0
43,1.247469062,1.954599437,3.945532077,1.252630658,1.569083566,0.125263066,-1.738816,0
44,1.123392904,1.92966477,3.85883566,1.121575209,1.257930949,0.112157521,-1.470385283,0
45,1.133108638,1.96698977,3.921961697,1.137228003,1.293287531,0.1137228,-1.575463387,0
46,1.181774235,1.999952648,3.872036657,1.183120354,1.399773773,0.118312035,-1.441870769,0
47,1.180802145,1.953430328,3.924388397,1.186473189,1.407718629,0.118647319,-1.702939644,0
48,1.125718021,1.986588232,3.959260109,1.131112306,1.279415048,0.113111231,-1.512261403,0
49,1.131581504,1.967276185,3.959460568,1.109225035,1.230380179,0.110922504,-1.715797176,0
50,1.139499218,1.993266699,3.982266211,1.144529019,1.309946676,0.114452902,-1.482793136,0
51,1.129949397,1.955063938,3.8692006,1.134255943,1.286536544,0.113425594,-1.504010017,0
52,1.134397775,1.874376959,3.829334591,1.138911715,1.297119894,0.113891171,-1.480201673,0
53,1.130367056,1.96804484,3.963878539,1.135532894,1.289434953,0.113553289,-1.556552152,0
54,1.156593931,1.95329174,3.946241034,1.161873369,1.349949725,0.116187337,-1.37797266,0
55,1.139548025,1.957086303,3.946479794,1.141082523,1.302069325,0.114108252,-1.634258034,0
56,1.259137404,1.998447417,3.998009361,1.248498981,1.558749705,0.124849898,-1.695871632,0
57,1.198841442,1.99602418,3.975077241,1.204334752,1.450422195,0.120433475,-1.55247448,0
58,1.172134299,1.993015877,3.940176223,1.178025796,1.387744777,0.11780258,-1.536882567,0
59,1.176540718,1.947738569,3.906030445,1.18210752,1.39737819,0.118210752,-1.601477681,0
60,1.203940961,1.944406384,3.929290344,1.209918913,1.463903776,0.120991891,-1.623721815,0
61,1.231593829,1.967971037,3.938885406,1.23777713,1.532092223,0.123777713,-1.669387849,0
62,1.192809259,1.989324197,3.970854893,1.188793141,1.413229132,0.118879314,-1.613797216,0
63,1.165051437,1.954221358,3.930168256,1.16306273,1.352714914,0.116306273,-1.623628171,0
64,1.147107436,1.974337684,3.864658572,1.147122569,1.315890189,0.114712257,-1.608383044,0
65,1.255849971,1.998105642,3.972793561,1.261825561,1.592203745,0.126182556,-1.769244383,0
66,1.140295619,1.989195049,3.980927671,1.141120495,1.302155983,0.114112049,-1.56870788,0
67,1.147860728,1.984996555,3.9364662,1.153078663,1.329590404,0.115307866,-1.471575498,0
68,1.216802669,1.999368693,3.960446858,1.222672999,1.494929261,0.1222673,-1.72133152,0
69,1.172097692,1.979305294,3.978286177,1.175087498,1.380830628,0.11750875,-1.575711558,0
70,1.184275431,1.875167045,3.843303929,1.186184335,1.407033277,0.118618434,-1.731721723,0
71,1.221475441,1.9646368,3.962497941,1.226387403,1.504026063,0.12263874,-1.716811059,0
72,1.165922083,1.969843864,3.937492928,1.165126899,1.35752069,0.11651269,-1.581816103,0
73,1.093057173,1.953701499,3.86262349,1.098332588,1.206334475,0.109833259,-1.648221852,0
74,1.071473114,1.946786541,3.832384586,1.073131209,1.151610592,0.107313121,-1.515427391,0
75,1.161926194,1.959786837,3.959359532,1.153740821,1.331117881,0.115374082,-1.726469601,0
76,1.106030113,1.927813526,3.916115818,1.110828773,1.233940562,0.111082877,-1.616815999,0
77,1.166419247,1.977432667,3.927391076,1.153542121,1.330659426,0.115354212,-1.48321985,0
78,1.069403569,1.990928811,3.924573927,1.055086516,1.113207557,0.105508652,-1.35419802,0
79,1.174893437,1.900477589,3.868847194,1.180256419,1.393005216,0.118025642,-1.579336083,0
80,1.087257351,1.996805292,3.951148933,1.091683828,1.19177358,0.109168383,-1.587028018,0
81,1.13233735,1.940852827,3.930622755,1.131968502,1.281352688,0.11319685,-1.53733717,0
82,1.21583695,1.980562768,3.976012453,1.212820757,1.47093419,0.121282076,-1.723073186,0
83,1.039370602,1.978636832,3.944732188,1.043879433,1.089684271,0.104387943,-1.539062318,0
84,1.032555207,1.906952444,3.879849774,1.035670259,1.072612886,0.103567026,-1.453191643,0
85,1.122761643,1.943926428,3.927231379,1.12438516,1.264241987,0.112438516,-1.592976099,0
86,1.232290559,1.981928534,3.971743701,1.238159998,1.53304018,0.123816,-1.650676779,0
87,1.152246443,1.969221322,3.903563897,1.153506378,1.330576964,0.115350638,-1.516212574,0
88,1.202395987,1.936618913,3.925056356,1.207093076,1.457073695,0.120709308,-1.741200954,0
89,1.067430331,1.982227661,3.931509399,1.069214508,1.143219665,0.106921451,-1.62276785,0
90,1.116078429,1.983893442,3.979568435,1.118643642,1.251363598,0.111864364,-1.471432405,0
91,1.052329818,1.968160022,3.887814095,1.056999747,1.117248466,0.105699975,-1.296752003,0
92,1.116110346,1.925882439,3.925092,1.120927742,1.256479002,0.112092774,-1.529507136,0
93,1.189779833,1.964526372,3.954804905,1.182299676,1.397832523,0.118229968,-1.799334984,0
94,1.097166097,1.977006489,3.922215818,1.101771825,1.213901155,0.110177183,-1.600208751,0
95,1.13695098,1.98877053,3.94149787,1.141370078,1.302725656,0.114137008,-1.50386267,0
96,1.16955124,1.988453543,3.958409756,1.172469374,1.374684434,0.117246937,-1.611916665,0
97,1.174617954,1.995622182,3.974349165,1.110643368,1.23352869,0.111064337,-1.336129807,0
98,1.113703481,1.9589715,3.939087018,1.112977498,1.238718912,0.11129775,-1.66702286,0
99,1.170489418,1.975467399,3.974187555,1.176017183,1.383016415,0.117601718,-1.531960639,0
100,1.13770526,1.925279706,3.894979585,1.129854771,1.276571804,0.112985477,-1.700065739,0
101,1.162058315,1.942576565,3.921986996,1.162691487,1.351851494,0.116269149,-1.482318035,0
102,1.07997248,1.937716217,3.877263073,1.068895294,1.14253715,0.106889529,-1.326805637,0
103,1.247129902,1.978198416,3.923376767,1.251793545,1.56698708,0.125179355,-1.775011447,0
104,1.27497369,1.998842365,3.969893865,1.280441788,1.639531173,0.128044179,-1.702350644,0
105,1.173046549,1.862620956,3.814404663,1.178373746,1.388564686,0.117837375,-1.505305586,0
106,1.096651669,1.984589728,3.973346004,1.102154797,1.214745196,0.11021548,-1.579140777,0
107,1.09155683,1.983097618,3.962039479,1.097050256,1.203519265,0.109705026,-1.537849202,0
108,1.16962761,1.997413942,3.982446578,1.174811021,1.380180934,0.117481102,-1.498563077,0
109,1.17374537,1.99978226,3.923013059,1.155933442,1.336182123,0.115593344,-1.440953149,0
110,1.109254233,1.990852935,3.99082203,1.114823516,1.242831473,0.111482352,-1.403700305,0
111,1.236657836,1.954914136,3.885739786,1.240252617,1.538226555,0.124025262,-1.75547739,0
112,1.14381524,1.976038937,3.941571749,1.137208957,1.293244212,0.113720896,-1.673458132,0
113,1.18201505,1.904278248,3.872756807,1.187777754,1.410815993,0.118777775,-1.59396305,0
114,1.153814436,1.99710616,3.981967218,1.154508416,1.332889682,0.115450842,-1.528418344,0
115,1.153121357,1.99618488,3.943018861,1.157385274,1.339540671,0.115738527,-1.696756102,0
116,1.178987289,1.999482813,3.940457175,1.18492338,1.404043416,0.118492338,-1.616727048,0
117,1.290114241,1.943565089,3.899749847,1.296121838,1.679931819,0.129612184,-1.751628966,0
118,1.192473134,1.969452456,3.798700244,1.198333117,1.43600226,0.119833312,-1.568551595,0
119,1.14271363,1.984719488,3.963471783,1.148225214,1.318421141,0.114822521,-1.618442321,0
120,1.203554097,1.98110234,3.963320292,1.181098711,1.394994165,0.118109871,-1.451915802,0
121,1.052671311,1.915892632,3.901993242,1.054933695,1.112885101,0.10549337,-1.448695694,0
122,1.138185635,1.913555074,3.871317356,1.142892228,1.306202644,0.114289223,-1.59609542,0
123,1.142271246,1.99364942,3.961708941,1.147658288,1.317119545,0.114765829,-1.524097654,0
124,1.184301581,1.929466165,3.826615634,1.186804907,1.408505888,0.118680491,-1.514092295,0
125,1.19384367,1.93616434,3.861183576,1.19753559,1.434091489,0.119753559,-1.68663965,0
126,1.20338259,1.97844264,3.909605108,1.207723984,1.458597222,0.120772398,-1.655732969,0
127,1.104371748,1.937136078,3.912741336,1.109931749,1.231948487,0.110993175,-1.254954991,0
128,1.151338876,1.972768506,3.960935194,1.157023104,1.338702462,0.11570231,-1.410541667,0
129,1.194520382,1.963717925,3.936822409,1.19993638,1.439847317,0.119993638,-1.515177946,0
130,1.290981425,1.997554696,3.996518824,1.296381884,1.680605988,0.129638188,-1.822538065,0
131,1.104776275,1.990772124,3.98446976,1.103112642,1.216857501,0.110311264,-1.73335291,0
132,1.224209588,1.981292145,3.969882479,1.229898806,1.512651072,0.122989881,-1.647319255,0
133,1.330837103,1.98877832,3.905329978,1.33660137,1.786503222,0.133660137,-1.756609991,0
134,1.157134142,1.933007927,3.925462995,1.147483761,1.316718981,0.114748376,-1.693289887,0
135,1.111280031,1.790815687,3.769978588,1.114815413,1.242813405,0.111481541,-1.610552746,0
136,1.165789198,1.950000517,3.92747831,1.171269667,1.371872632,0.117126967,-1.657201274,0
137,1.143999991,1.975673657,3.961098369,1.140969095,1.301810476,0.114096909,-1.460024729,0
138,1.125917531,1.978124385,3.977676864,1.130483926,1.277993908,0.113048393,-1.572535978,0
139,1.135604778,1.952423999,3.947594735,1.138310924,1.29575176,0.113831092,-1.424044509,0
140,1.174786598,1.963766119,3.881890325,1.172267743,1.374211662,0.117226774,-1.600497589,0
141,1.155445089,1.97805585,3.946334188,1.161002075,1.347925818,0.116100207,-1.606772213,0
142,1.12535817,1.980706341,3.956029337,1.128468033,1.273440101,0.112846803,-1.658160135,0
143,1.13442052,1.997748475,3.972508664,1.138767913,1.29679236,0.113876791,-1.667757721,0
144,1.007923641,1.958002328,3.936825593,1.010094412,1.02029072,0.101009441,-1.376625538,0
145,1.095159614,1.949480728,3.940359351,1.100520425,1.211145206,0.110052043,-1.550721081,0
146,1.12757977,1.988866078,3.978815043,1.131687801,1.28071728,0.11316878,-1.669708518,0
147,1.10815397,1.955077124,3.903259559,1.11067399,1.233596712,0.111067399,-1.42683411,0
148,1.123129445,1.974171997,3.927611948,1.12637204,1.268713971,0.112637204,-1.518762066,0
149,1.129563173,1.961119227,3.940230002,1.132243383,1.281975079,0.113224338,-1.470214941,0
150,1.031108155,1.687477505,3.650334599,1.033933845,1.069019195,0.103393384,-1.415452869,0
151,1.128345536,1.978244918,3.917677897,1.131114093,1.279419091,0.113111409,-1.640147025,0
152,1.129917457,1.863371164,3.844217859,1.135020951,1.288272559,0.113502095,-1.584053734,0
153,1.040386713,1.951657171,3.798980641,1.039884283,1.081359323,0.103988428,-1.241728968,0
154,1.225582453,1.984592233,3.970914712,1.216676984,1.480302883,0.121667698,-1.575502529,0
155,1.07495584,1.974701504,3.945405683,1.079312845,1.164916217,0.107931284,-1.392248907,0
156,1.16806741,1.975061983,3.948511584,1.171791235,1.3730947,0.117179124,-1.677194462,0
157,1.17250865,1.986593271,3.984262809,1.177106523,1.385579767,0.117710652,-1.586765212,0
158,1.139218783,1.971462763,3.926529018,1.144105783,1.308978042,0.114410578,-1.654380335,0
159,1.081114442,1.992714966,3.891803487,1.086548992,1.180588711,0.108654899,-1.441698621,0
160,1.263305012,1.962473516,3.954170191,1.265901357,1.602506245,0.126590136,-1.817941176,0
161,1.136218341,1.868437701,3.791722201,1.141811406,1.303733287,0.114181141,-1.539004589,0
162,1.140198403,1.995966804,3.943898135,1.144194044,1.30918001,0.114419404,-1.414709673,0
163,1.154973516,1.906521508,3.854128768,1.158460228,1.3420301,0.115846023,-1.547957694,0
164,1.125072343,1.953080121,3.905684711,1.130730571,1.278551625,0.113073057,-1.612218007,0
165,1.118698596,1.935156843,3.911087782,1.120186009,1.254816695,0.112018601,-1.538639167,0
166,1.148370277,1.946583841,3.865655027,1.137012598,1.292797649,0.11370126,-1.391085419,0
167,1.13447089,1.986027927,3.931323205,1.139886946,1.29934225,0.113988695,-1.613277991,0
168,1.124544448,1.980357581,3.947345352,1.129336139,1.275400116,0.112933614,-1.521271479,0
169,1.130094946,1.818958331,3.782142568,1.135679425,1.289767755,0.113567942,-1.519723127,0
170,1.166535929,1.961701265,3.902950849,1.16640118,1.360491712,0.116640118,-1.651315,0
171,1.198502924,1.923119413,3.912668923,1.194628326,1.427136837,0.119462833,-1.769603948,0
172,1.171449378,1.984056251,3.854026474,1.177306577,1.386050776,0.117730658,-1.493714283,0
173,1.131799836,1.980874452,3.97196998,1.133083604,1.283878455,0.11330836,-1.63116403,0
174,1.184498613,1.920571541,3.893559535,1.188003772,1.411352961,0.118800377,-1.641736965,0
175,1.177897146,1.938679007,3.926270968,1.176052133,1.383098619,0.117605213,-1.589382489,0
176,1.220137519,1.99413503,3.993130935,1.225790185,1.502561579,0.122579019,-1.596700293,0
